scan_name,dice_score,haus_score
DTU_063,0.5885248184204102,11.0
DTU_063,0.5762397646903992,9.0
DTU_063,0.5709454417228699,12.0
DTU_063,0.5781155228614807,12.0
DTU_063,0.5765902400016785,10.0
DTU_063,0.7472707629203796,11.0
DTU_066,0.3446302115917206,258.0
DTU_066,0.577308714389801,12.0
DTU_066,0.5664364099502563,11.0
DTU_066,0.5944687724113464,20.0
DTU_066,0.5512477159500122,26.0
DTU_066,0.5983197093009949,10.0
DTU_067,0.7119818925857544,8.0
DTU_067,0.6304452419281006,11.0
DTU_067,0.5907319188117981,16.0
DTU_067,0.5906695127487183,45.0
DTU_067,0.6140123009681702,9.0
DTU_067,0.6431630253791809,9.0
DTU_081,0.579674243927002,14.0
DTU_081,0.45727941393852234,149.0
DTU_081,0.5364583134651184,51.0
DTU_081,0.593329668045044,13.0
DTU_081,0.6627634763717651,10.0
DTU_081,0.4751843810081482,17.0
DTU_083,0.5239503383636475,46.0
DTU_083,0.5480093955993652,30.0
DTU_083,0.5629022717475891,35.0
DTU_083,0.5266711711883545,55.0
DTU_083,0.6430546045303345,23.0
DTU_083,0.6032196879386902,93.0
DTU_087,0.41883885860443115,18.0
DTU_087,0.6211501359939575,10.0
DTU_087,0.608913779258728,13.0
DTU_087,0.5375819802284241,416.0
DTU_087,0.5286792516708374,14.0
DTU_087,0.6305290460586548,9.0
